"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"562398898";"170177000012024NE000160";"2024NE000160";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"90180605000102";"GENTE SEGURADORA SA";"PAGAMENTO DE DESPESAS COM CONTRATACAO SE SEGURO VEICULAR PARA A FROTA DA 10RF";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"11000.756909/2023-37";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"10,00";"10,00";"1,0000"
"562175365";"170177000012024NE000086";"2024NE000086";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"28896128000102";"GTC COMERCIO DE ARMAS LTDA.";"LOCACAO EVENTUAL E TEMPORARIA DE ESTANDE DE TIRO PARA A REALIZACAO DO PLANO DE TREINAMENTO CONTINUADO EM ARMAMENTO E TIRO DOS SERVIDORES DA RFB NA 10ª RF (ITEM DE SERVICO PREVISTO NA LEGISLACAO) - CONTR 2023NE271";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"11000.746748/2023-73";"Dispensa de Licitação";"II";"LEI 14.133 / 2021";"-2";"-1";"NAO SE APLICA";"10,00";"10,00";"1,0000"
"562389008";"170177000012024NE000157";"2024NE000157";"01/01/2024";"NE";"Nota de Empenho";"Global";"Não se aplica";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"01819869000125";"ENTERPRISE COMERCIO DE MATERIAIS PARA EQUIPAMENTOS DE T";"EMPENHO PARA MANUTENCAO DE CENTRAL TELEFONICA DA ALF/RGE - SUB-ROGADO 170180 CONTR 170182 01/2019 -PREGAO 06/2018";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"11050.721089/2018-18";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"872,43";"872,43";"1,0000"
"562162748";"170177000012024NE000017";"2024NE000017";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"25000";"Ministério da Fazenda";"25000";"Ministério da Fazenda - Unidades com víncul";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"40432544000147";"CLARO S.A.";"EMPENHO PARA ATENDER DESPESA COM TELEFONIA MODALIDADE LDN - ARF SANTA CRUZ DO SUL. EXERCICIO 2024. CONTRATO DRF SCS 01/2019.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"13005.720055/2019-50";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"10,00";"10,00";"1,0000"
"562258263";"154045152622024NE000097";"2024NE000097";"01/01/2024";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"26000";"Ministério da Educação";"26276";"Fundação Universidade Federal do Mato Gross";"154045";"FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO";"15262";"FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO";"13153640000183";"AFS SERVICOS DE LOCACAO E GESTAO DE MAO DE OBRA LTDA";"RECONHECIMENTO DE DIVIDA REFERENTE CONTRATO 021/FUFMT/2019. PERIODO DE 01/12/2023 A 31/12/2023. NFSE 1348/1349. CAMPUS CUIABA - PROCESSO 23108.002597/2024-18- AUTORIZACAO SUPERIOR (6569231) E ND 82.E PA 75/2024.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"26276";"FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO";"12";"Educação";"364";"Ensino superior";"5113";"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20RK";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"";"20RK0051";"FUNCIONAMENTO DE INSTITUICOES FEDERAI - NO ESTADO DE MATO GR";"0000";"CODIGO INEXISTENTE NO SIAFI";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"92";"Despesas de Exercícios Anteriores";"23108.002597/2024-18";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"43542,40";"43542,40";"1,0000"
"562254435";"158445264032024NE000017";"2024NE000017";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26403";"Instituto Federal do Amazonas";"158445";"IFAM - CAMPUS MANAUS CENTRO";"26403";"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS";"158445";"IFAM - CAMPUS MANAUS CENTRO";"ATENDIMENTO AO MEMORANDO MEMORANDO ELETRONICO Nº 5/2024 - DAP-CMC, ATRAVES DA ORDEM DE SERVICO N.º 004 - DG/CMC/IEAM, DE 18.01.2024 PARA (VIA DOTACAO ORCAMENTARIA 2024). PAGAMENTO DAS DESPESAS REFERENTE AS DIARIAS DE SERVIDORES DO IFAM CAMPUS MANAUS CENTRO. PROCESSO Nº 23443.000850/2024-80. UASG 158445.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"26403";"INST.FED.DE EDUC.,CIENC.E TEC.DO AMAZONAS";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"PRONATEC";"20RL0013";"FUNCIONAMENTO DAS INSTITUICOES DA RED - NO ESTADO DO AMAZONA";"0000";"CODIGO INEXISTENTE NO SIAFI";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"14";"Diárias - Civil";"23443.001279/2024-11";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"15000,00";"15000,00";"1,0000"
"562159438";"152005000012024NE000009";"2024NE000009";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26000";"Ministério da Educação - Unidades com vín";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"ATENDER DESPESA COM AUXILIO ALIMENTACAO DE CONTRATOS TEMPORARIOS.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"Educação";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0033";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NO ESTADO DO RIO DE";"0005";"AUXILIO-ALIMENTACAO DE CIVIS ATIVOS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"04";"Contratação por Tempo Determinado";"23121.001375/2023-11";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"264000,00";"264000,00";"1,0000"
"562167195";"152005000012024NE000010";"2024NE000010";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26000";"Ministério da Educação - Unidades com vín";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"ATENDER DESPESA COM AUXILIO ALIMENTAC]AO DE SERVIDORES CIVIS ATIVO";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"Educação";"331";"Proteção e benefícios ao trabalhador";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0033";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NO ESTADO DO RIO DE";"0005";"AUXILIO-ALIMENTACAO DE CIVIS ATIVOS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"46";"Auxílio-Alimentação";"23121.001375/2023-11";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"2940000,00";"2940000,00";"1,0000"
"562442227";"200404000012024NE000071";"2024NE000071";"01/01/2024";"NE";"Nota de Empenho";"Global";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200404";"SUPERINTENDENCIA REGIONAL NO ESTADO DE TO";"00001";"TESOURO NACIONAL";"-11";"Informação protegida por sigilo nos termos da legisla";"Informação protegida por sigilo nos termos da legislação vigente";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"30108";"DEPARTAMENTO DE POLICIA FEDERAL";"06";"Segurança pública";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0001";"OUTRAS DESPESAS ADMINISTRATIVAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"08297.001082/2024-19";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"400,00";"400,00";"1,0000"
"562155807";"152005000012024NE000008";"2024NE000008";"01/01/2024";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26000";"Ministério da Educação - Unidades com vín";"152005";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS-RJ";"00001";"TESOURO NACIONAL";"170010";"SECRET. ESPECIAL DA RECEITA FEDERAL DO BRASIL";"ATENDER DESPESA COM PAGAMENTO DE CONTRIBUICOES DA UNIAO PARA O PLANO DE SEGURIDADE SOCIAL DO SERVIDOR (PSSS PATRONAL).";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"00";"RECURSOS ORDINARIOS";"26104";"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS";"12";"Educação";"846";"Outros encargos especiais";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS";"";"09HB0033";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQ - NO ESTADO DO RIO DE";"0000";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"91";"Aplicação Direta Decorrente de Operação entre ";"13";"Obrigações Patronais";"23121.001374/2023-76";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"10284313,00";"10284313,00";"1,0000"
