"Id Empenho";"Código Empenho";"Sequencial";"Tipo Operação";"Data Operação";"Quantidade Item";"Valor Unitário Item";"Valor Total Item"
"562145816";"152005000012024NE000013";"1";"INCLUSAO";"03/01/2024";"1,00000";"96000,00000";"96000,00000"
"562148870";"152005000012024NE000012";"1";"INCLUSAO";"03/01/2024";"1,00000";"198955,80000";"198955,80000"
"562151144";"152005000012024NE000004";"1";"INCLUSAO";"03/01/2024";"1,00000";"273000,00000";"273000,00000"
"562154518";"152005000012024NE000025";"1";"INCLUSAO";"05/01/2024";"1,00000";"1000,00000";"1000,00000"
"562155630";"152005000012024NE000024";"1";"INCLUSAO";"05/01/2024";"1,00000";"3000,00000";"3000,00000"
"562155807";"152005000012024NE000008";"1";"INCLUSAO";"03/01/2024";"1,00000";"10284313,00000";"10284313,00000"
"562159438";"152005000012024NE000009";"1";"INCLUSAO";"03/01/2024";"1,00000";"264000,00000";"264000,00000"
"562162748";"170177000012024NE000017";"1";"INCLUSAO";"05/01/2024";"0,01320";"378,78790";"5,00000"
"562162748";"170177000012024NE000017";"2";"INCLUSAO";"05/01/2024";"0,37707";"13,26010";"5,00000"
"562165744";"152005000012024NE000014";"1";"INCLUSAO";"03/01/2024";"1,00000";"882000,00000";"882000,00000"
"562166555";"152005000012024NE000005";"1";"INCLUSAO";"03/01/2024";"1,00000";"377000,00000";"377000,00000"
"562167195";"152005000012024NE000010";"1";"INCLUSAO";"03/01/2024";"1,00000";"2940000,00000";"2940000,00000"
"562167318";"152005000012024NE000044";"1";"INCLUSAO";"09/01/2024";"0,16666";"34945,39780";"5824,00000"
"562169052";"152005000012024NE000038";"1";"INCLUSAO";"08/01/2024";"0,00834";"199880,09590";"1667,00000"
"562171534";"152005000012024NE000039";"1";"INCLUSAO";"08/01/2024";"1,00000";"15600,00000";"15600,00000"
"562175198";"152005000012024NE000060";"1";"INCLUSAO";"09/01/2024";"0,08360";"868109,33010";"72573,94000"
"562175365";"170177000012024NE000086";"1";"INCLUSAO";"11/01/2024";"0,01124";"889,67970";"10,00000"
"562212951";"114702114012024NE400014";"1";"INCLUSAO";"22/01/2024";"1,00000";"63929,88000";"63929,88000"
"562217244";"114702114012024NE400013";"1";"INCLUSAO";"22/01/2024";"1,00000";"76720,80000";"76720,80000"
"562238399";"158139264342024NE000093";"1";"INCLUSAO";"29/01/2024";"12,00000";"145,83000";"1749,96000"
"562242362";"158139264342024NE000084";"1";"INCLUSAO";"26/01/2024";"1,00000";"17025,02000";"17025,02000"
"562245149";"158310264132024NE000066";"1";"INCLUSAO";"29/01/2024";"8,42105";"380,00010";"3200,00000"
"562254435";"158445264032024NE000017";"1";"INCLUSAO";"01/02/2024";"1,00000";"15000,00000";"15000,00000"
"562258263";"154045152622024NE000097";"1";"INCLUSAO";"01/02/2024";"1,00000";"43542,40000";"43542,40000"
"562258550";"158139264342024NE000097";"1";"INCLUSAO";"30/01/2024";"4,00000";"3871,85250";"15487,41000"
"562258550";"158139264342024NE000097";"2";"INCLUSAO";"30/01/2024";"1,00000";"5573,35000";"5573,35000"
"562274533";"158139264342024NE000112";"1";"INCLUSAO";"06/02/2024";"0,18563";"3730,97020";"692,58000"
"562274533";"158139264342024NE000112";"2";"INCLUSAO";"06/02/2024";"0,09244";"4741,88660";"438,34000"
"562274533";"158139264342024NE000112";"3";"INCLUSAO";"06/02/2024";"0,07365";"5541,61580";"408,14000"
"562274533";"158139264342024NE000112";"4";"INCLUSAO";"06/02/2024";"0,45104";"3860,45580";"1741,22000"
"562274533";"158139264342024NE000112";"5";"INCLUSAO";"06/02/2024";"0,19067";"4041,43280";"770,58000"
"562292642";"158139264342024NE000122";"1";"INCLUSAO";"09/02/2024";"0,00865";"57803,46820";"500,00000"
"562389008";"170177000012024NE000157";"1";"INCLUSAO";"04/03/2024";"0,02333";"37395,19930";"872,43000"
"562398898";"170177000012024NE000160";"1";"INCLUSAO";"06/03/2024";"0,00003";"333333,33330";"10,00000"
"562442227";"200404000012024NE000071";"1";"INCLUSAO";"15/03/2024";"33898,30508";"0,01180";"400,00000"
"562473104";"495650292082024NE000404";"1";"INCLUSAO";"21/03/2024";"1,00000";"2274,04000";"2274,04000"
