"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"110322000012024NS000191";"110322000012023NE000702";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"110402000012024NS000011";"110402000012023NE000178";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"110402000012024NS000012";"110402000012023NE000283";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"110402000012024NS000013";"110402000012023NE000182";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"110794000012024NS000039";"110794000012023NE000513";"44905242";"MOBILIARIO EM GERAL";"0,00";"0,00";"0,00";"0,00"
"110794000012024NS000040";"110794000012023NE000622";"44905204";"APARELHOS DE MEDICAO E ORIENTACAO";"0,00";"0,00";"0,00";"0,00"
"110794000012024NS000041";"110794000012023NE000515";"44905241";"EQUIPAMENTOS DE TIC - COMPUTADORES";"0,00";"0,00";"0,00";"0,00"
"110794000012024NS000042";"110794000012023NE000550";"44905242";"MOBILIARIO EM GERAL";"0,00";"0,00";"0,00";"0,00"
"110794000012024NS000069";"110794000012023NE000597";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"112408000012024NS000089";"112408000012023NE002969";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"112408000012024NS000096";"112408000012023NE002692";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"0,00";"0,00";"0,00";"0,00"
"112408000012024NS000106";"112408000012023NE002953";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"112408000012024NS000107";"112408000012023NE003089";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"112408000012024NS000616";"112408000012023NE002964";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"113214202142024NS000061";"113214202142023NE000457";"44905254";"EQUIPAMENTOS, PECAS E ACESSORIOS AERONAUTICOS";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000033";"120073000012023NE000771";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000034";"120073000012023NE000842";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000036";"120073000012023NE000832";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000039";"120073000012023NE000769";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000040";"120073000012023NE000769";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000041";"120073000012023NE000252";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000042";"120073000012023NE000252";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000043";"120073000012023NE000442";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120073000012024NS000044";"120073000012023NE000442";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"120636000012024NS000444";"120195000012023NE006339";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"120636000012024NS000445";"120195000012023NE006339";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"120636000012024NS000446";"120195000012023NE006339";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"120636000012024NS000447";"120195000012023NE006339";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"120638000012024NS000284";"120638000012023NE001129";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"130056000012024NS000002";"130056000012023NE000343";"33903017";"MATERIAL DE TIC - MATERIAL DE CONSUMO";"0,00";"0,00";"0,00";"0,00"
"130056000012024NS000003";"130056000012023NE000341";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"130056000012024NS000004";"130056000012023NE000340";"33903021";"MATERIAL DE COPA E COZINHA";"0,00";"0,00";"0,00";"0,00"
"130056000012024NS000005";"130056000012023NE000316";"33903016";"MATERIAL DE EXPEDIENTE";"0,00";"0,00";"0,00";"0,00"
"135028132032024NS000022";"135028132032023NE000286";"33903916";"MANUTENCAO E CONSERV. DE BENS IMOVEIS";"0,00";"0,00";"0,00";"0,00"
"135028132032024NS000022";"135028132032023NE000186";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"135028132032024NS000022";"135028132032023NE000032";"33903977";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"0,00";"0,00";"0,00";"0,00"
"135028132032024NS000022";"135028132032023NE000187";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"0,00"
"135143222112024NS000050";"135143222112023NE000589";"33906251";"ARMAZENAGEM";"0,00";"0,00";"2394,30";"0,00"
"135287222112024NS000011";"135287222112023NE000034";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135287222112024NS000011";"135287222112023NE000032";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135287222112024NS000016";"135287222112024NE000002";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"-0,01";"0,00";"0,00";"0,00"
"135287222112024NS000016";"135287222112023NE000034";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135287222112024NS000016";"135287222112023NE000032";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135287222112024NS000017";"135287222112024NE000002";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,01";"0,00";"0,00";"0,00"
"135287222112024NS000017";"135287222112023NE000034";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135287222112024NS000017";"135287222112023NE000032";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135301222112024NS000001";"135301222112023NE000053";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135301222112024NS000001";"135301222112023NE000052";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"0,00";"0,00";"0,00";"0,00"
"135301222112024NS000020";"135301222112023NE000046";"33906224";"EMBALAGENS";"0,00";"0,00";"0,00";"0,00"
"135312222112024NS000001";"135312222112024NE000002";"33906224";"EMBALAGENS";"23483,21";"0,00";"0,00";"0,00"
"135312222112024NS000002";"135312222112024NE000001";"33906224";"EMBALAGENS";"23483,21";"0,00";"0,00";"0,00"
"135317222112024NS000001";"135317222112023NE000082";"33906251";"ARMAZENAGEM";"0,00";"0,00";"0,00";"0,00"
"150160152692024NS000240";"150160152692023NE005472";"33903950";"SERV.MEDICO-HOSPITAL.,ODONTOL.E LABORATORIAIS";"0,00";"0,00";"0,00";"0,00"
"152141264282024NS000004";"152141264282023NE000098";"33903026";"MATERIAL ELETRICO E ELETRONICO";"0,00";"0,00";"0,00";"0,00"
"152141264282024NS000005";"152141264282023NE000125";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"152141264282024NS000008";"152141264282023NE000059";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
