"Código Pagamento";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Pago (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"110001000012024OB000001";"110001000012023NE000076";"31901174";"SUBSIDIOS";"0,00";"0,00";"0,00";"124952,76"
"110001000012024OB000001";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"57053,59"
"110001000012024OB000001";"110001000012023NE000072";"31901208";"GRATIFICACAO DE REPRESENTACAO";"0,00";"0,00";"0,00";"348916,40"
"110001000012024OB000001";"110001000012023NE000072";"31901231";"GRATIFICACAO DE EXERCICIOS DE CARGOS.";"0,00";"0,00";"0,00";"104883,08"
"110001000012024OB000001";"110001000012023NE000070";"31901632";"SUBSTITUICOES";"0,00";"0,00";"0,00";"68887,73"
"110001000012024OB000002";"110001000012023NE000072";"31901231";"GRATIFICACAO DE EXERCICIOS DE CARGOS.";"0,00";"0,00";"0,00";"75188,07"
"110001000012024OB000003";"110001000012023NE000076";"31901137";"GRATIFICACAO DE TEMPO DE SERVICO";"0,00";"0,00";"0,00";"1645,96"
"110001000012024OB000003";"110001000012023NE000076";"31901174";"SUBSIDIOS";"0,00";"0,00";"0,00";"41650,92"
"110001000012024OB000003";"110001000012023NE000076";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"6928316,90"
"110001000012024OB000003";"110001000012023NE000070";"31901632";"SUBSTITUICOES";"0,00";"0,00";"0,00";"123489,85"
"110001000012024OB000003";"110001000012023NE000076";"31901110";"ADICIONAL DE INSALUBRIDADE";"0,00";"0,00";"0,00";"5547,93"
"110001000012024OB000003";"110001000012023NE000076";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"174034,56"
