"Código Pagamento";"Código Lista";"Data Emissão";"Código Banco";"Nome Banco";"Agência";"Valor em R$"
"110001000012024OB000010";"110001000012023LB000012";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"15320,96"
"110001000012024OB000010";"110001000012023LB000012";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"612,70"
"110001000012024OB000010";"110001000012023LB000012";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"11105,37"
"110001000012024OB000010";"110001000012023LB000012";"02/01/2024";"104";"Caixa Econômica Federal";"2286";"10898,39"
"110001000012024OB000010";"110001000012023LB000012";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"168,81"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"136749093,15"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"0082";"7283319,59"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0100";"205506,65"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"59240,86"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"104";"Caixa Econômica Federal";"2733";"37268249,32"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"5262258,58"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"11357110,46"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"602289,32"
"110062000012024OB000001";"110062000012023LB000035";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"997011,87"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"3335033,04"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"0082";"233363,16"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0100";"23017,10"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"104";"Caixa Econômica Federal";"2733";"649069,75"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"227318,67"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"544051,87"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"21583,98"
"110062000012024OB000002";"110062000012023LB000036";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"32017,49"
"110062000012024OB000003";"110062000012023LB000037";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"8837526,14"
"110062000012024OB000003";"110062000012023LB000037";"02/01/2024";"104";"Caixa Econômica Federal";"2733";"2577346,77"
"110101000012024OB000001";"110101000012023LB000017";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"318087,31"
"110101000012024OB000001";"110101000012023LB000017";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"44286,69"
"110101000012024OB000001";"110101000012023LB000017";"02/01/2024";"104";"Caixa Econômica Federal";"2286";"38115,15"
"110101000012024OB000001";"110101000012023LB000017";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"843,71"
"110101000012024OB000001";"110101000012023LB000017";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"14320,84"
"110247000012024OB000001";"110247000012023LB000024";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"440992,03"
"110247000012024OB000001";"110247000012023LB000024";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"45254,06"
"110247000012024OB000001";"110247000012023LB000024";"02/01/2024";"104";"Caixa Econômica Federal";"2733";"179171,99"
"110247000012024OB000001";"110247000012023LB000024";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"10286,04"
"110247000012024OB000001";"110247000012023LB000024";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"9431,42"
"110247000012024OB000001";"110247000012023LB000024";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"65259,63"
"110247000012024OB000004";"110247000012023LB000023";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"13760,23"
"110247000012024OB000004";"110247000012023LB000023";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"3912,27"
"110247000012024OB000004";"110247000012023LB000023";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0028";"7289,33"
"110247000012024OB000004";"110247000012023LB000023";"02/01/2024";"104";"Caixa Econômica Federal";"2733";"14347,61"
"110247000012024OB000004";"110247000012023LB000023";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"1400,00"
"110247000012024OB000004";"110247000012023LB000023";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"1023,20"
"110404000012024OB000002";"110404000012023LB000090";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"2274971,65"
"110404000012024OB000002";"110404000012023LB000090";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"493247,18"
"110404000012024OB000002";"110404000012023LB000090";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"1232589,68"
"110404000012024OB000002";"110404000012023LB000090";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"127722,33"
"110404000012024OB000002";"110404000012023LB000090";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"287283,00"
"110404000012024OB000002";"110404000012023LB000090";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"13863,85"
"110404000012024OB000003";"110404000012023LB000089";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"147105,98"
"110404000012024OB000003";"110404000012023LB000089";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"68301,28"
"110404000012024OB000004";"110404000012023LB000094";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"3618,95"
"110404000012024OB000004";"110404000012023LB000094";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"4688,94"
"110404000012024OB000004";"110404000012023LB000094";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"6316,55"
"110404000012024OB000004";"110404000012023LB000094";"02/01/2024";"237";"Banco Bradesco S.A.";"1790";"2659,20"
"110404000012024OB000004";"110404000012023LB000094";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"2917,75"
"110404000012024OB000005";"110404000012023LB000096";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"1394,91"
"110404000012024OB000005";"110404000012023LB000096";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"4121,15"
"110404000012024OB000006";"110404000012023LB000092";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"358219,12"
"110404000012024OB000006";"110404000012023LB000092";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"15522,99"
"110404000012024OB000006";"110404000012023LB000092";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"44686,87"
"110404000012024OB000006";"110404000012023LB000092";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"15759,60"
"110404000012024OB000006";"110404000012023LB000092";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"56002,90"
"110404000012024OB000007";"110404000012023LB000093";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"140882,00"
"110404000012024OB000007";"110404000012023LB000093";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"413,68"
"110404000012024OB000007";"110404000012023LB000093";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"43857,50"
"110404000012024OB000008";"110404000012023LB000091";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"694288,08"
"110404000012024OB000008";"110404000012023LB000091";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"63989,89"
"110404000012024OB000008";"110404000012023LB000091";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"230291,91"
"110404000012024OB000008";"110404000012023LB000091";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"85129,94"
"110404000012024OB000008";"110404000012023LB000091";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"91224,86"
"110404000012024OB000008";"110404000012023LB000091";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"37019,80"
"110404000012024OB000009";"110404000012023LB000095";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"6618,83"
"110404000012024OB000009";"110404000012023LB000095";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"4545,33"
"110537000012024OB000088";"110537000012023LB000228";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"14485311,54"
"110537000012024OB000089";"110537000012023LB000227";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"74351,70"
"110537000012024OB000090";"110537000012023LB000229";"02/01/2024";"104";"Caixa Econômica Federal";"3247";"3601656,07"
"110537000012024OB000091";"110537000012023LB000230";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"17340,14"
"110537000012024OB000093";"110537000012023LB000232";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"1007";"15587,61"
"110537000012024OB000094";"110537000012023LB000233";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"3223,80"
"110537000012024OB000095";"110537000012023LB000226";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"1901793,78"
"110537000012024OB000096";"110537000012023LB000231";"02/01/2024";"237";"Banco Bradesco S.A.";"0125";"421729,07"
"110537000012024OB000097";"110537000012023LB000221";"02/01/2024";"104";"Caixa Econômica Federal";"3247";"39299,95"
"110537000012024OB000098";"110537000012023LB000224";"02/01/2024";"104";"Caixa Econômica Federal";"3247";"288575,01"
"110537000012024OB000099";"110537000012023LB000225";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"657603,86"
"110537000012024OB000101";"110537000012023LB000223";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"32434,58"
"110537000012024OB000102";"110537000012023LB000216";"02/01/2024";"104";"Caixa Econômica Federal";"3247";"44308,58"
"110537000012024OB000103";"110537000012023LB000222";"02/01/2024";"237";"Banco Bradesco S.A.";"0125";"41419,19"
"110537000012024OB000104";"110537000012023LB000220";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"121226,85"
"110537000012024OB000105";"110537000012023LB000219";"02/01/2024";"104";"Caixa Econômica Federal";"3247";"1994794,63"
"110537000012024OB000109";"110537000012023LB000218";"02/01/2024";"104";"Caixa Econômica Federal";"3247";"418517,68"
"110537000012024OB000110";"110537000012023LB000217";"02/01/2024";"1";"Banco do Brasil S.A.";"3478";"799116,89"
"110807000012024OB000001";"110807000012023LB000007";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"709320,32"
"110807000012024OB000001";"110807000012023LB000007";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"91582,33"
"110807000012024OB000001";"110807000012023LB000007";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"187676,51"
"110807000012024OB000001";"110807000012023LB000007";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"83905,71"
"110807000012024OB000001";"110807000012023LB000007";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"117280,50"
"110807000012024OB000001";"110807000012023LB000007";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"9558,60"
"110807000012024OB000004";"110807000012023LB000008";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"1458,26"
"110807000012024OB000004";"110807000012023LB000008";"02/01/2024";"104";"Caixa Econômica Federal";"0875";"1384,18"
"110807000012024OB000004";"110807000012023LB000008";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"2000,00"
"112408000012024OB000002";"112408000012023LB000038";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"4473500,46"
"112408000012024OB000002";"112408000012023LB000038";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3335";"409132,89"
