"Código Pagamento";"Código Lista";"Data Emissão";"Código Sequência";"Valor Lançamento em R$";"Valor Desconto em R$";"Valor Juros em R$";"Valor Dedução em R$";"Valor Acréscimo em R$"
"110001000012024OB000017";"110001000012023LF000737";"02/01/2024";"1";"4940,45";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000022";"110001000012023LF000706";"02/01/2024";"1";"10278,74";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000023";"110001000012023LF000700";"02/01/2024";"1";"81729,90";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000025";"110001000012023LF000711";"02/01/2024";"1";"4975,59";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000025";"110001000012023LF000711";"02/01/2024";"2";"1859,62";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000025";"110001000012023LF000711";"02/01/2024";"3";"8120,66";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000032";"110001000012023LF000713";"02/01/2024";"1";"15252,05";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000034";"110001000012023LF000712";"02/01/2024";"1";"104235,34";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000035";"110001000012023LF000705";"02/01/2024";"1";"111482,63";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000040";"110001000012023LF000714";"02/01/2024";"1";"58050,74";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000040";"110001000012023LF000714";"02/01/2024";"2";"53313,31";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"1";"8310,88";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"10";"7449,10";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"11";"12934,23";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"12";"13536,30";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"13";"15703,16";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"14";"13366,27";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"15";"8689,70";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"16";"14598,68";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"17";"15481,88";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"2";"12814,19";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"3";"12763,21";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"4";"11805,27";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"5";"13517,58";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"6";"8936,28";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"7";"9634,89";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"8";"7183,02";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000041";"110001000012023LF000708";"02/01/2024";"9";"10443,73";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000042";"110001000012023LF000709";"02/01/2024";"1";"6561,04";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000045";"110001000012023LF000702";"02/01/2024";"1";"5094,05";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000045";"110001000012023LF000702";"02/01/2024";"2";"32895,50";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000048";"110001000012023LF000710";"02/01/2024";"1";"7505,02";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000052";"110001000012023LF000715";"02/01/2024";"1";"15252,05";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000055";"110001000012023LF000701";"02/01/2024";"1";"1297759,46";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000056";"110001000012023LF000703";"02/01/2024";"1";"900052,54";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000057";"110001000012023LF000704";"02/01/2024";"1";"1072606,92";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000058";"110001000012023LF000707";"02/01/2024";"1";"7738,93";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000058";"110001000012023LF000707";"02/01/2024";"2";"550387,60";"0,00";"0,00";"0,00";"0,00"
"110001000012024OB000059";"110001000012023LF000716";"02/01/2024";"1";"668220,59";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000005";"110062000012023LF000294";"02/01/2024";"1";"68973,63";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000006";"110062000012023LF000295";"02/01/2024";"1";"2492,11";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000010";"110062000012023LF000281";"02/01/2024";"1";"42625,39";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000011";"110062000012023LF000277";"02/01/2024";"1";"224418,09";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000016";"110062000012023LF000286";"02/01/2024";"1";"85805,23";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000022";"110062000012023LF000287";"02/01/2024";"1";"5377,49";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000026";"110062000012023LF000293";"02/01/2024";"1";"54100,36";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000027";"110062000012023LF000284";"02/01/2024";"1";"55996,75";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000028";"110062000012023LF000283";"02/01/2024";"1";"35961,20";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000030";"110062000012023LF000282";"02/01/2024";"1";"45503,91";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000031";"110062000012023LF000296";"02/01/2024";"1";"5579,00";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000032";"110062000012023LF000298";"02/01/2024";"1";"14499,81";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000033";"110062000012023LF000297";"02/01/2024";"1";"5587,96";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000037";"110062000012023LF000289";"02/01/2024";"1";"9443395,11";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000038";"110062000012023LF000290";"02/01/2024";"1";"2194376,70";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000039";"110062000012023LF000291";"02/01/2024";"1";"735931,02";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000040";"110062000012023LF000292";"02/01/2024";"1";"623952,75";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000041";"110062000012023LF000288";"02/01/2024";"1";"319266,64";"0,00";"0,00";"0,00";"0,00"
"110062000012024OB000042";"110062000012023LF000285";"02/01/2024";"1";"461379,85";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000001";"110096000012023LF001559";"02/01/2024";"1";"24,01";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000002";"110096000012023LF001560";"02/01/2024";"1";"24,27";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000003";"110096000012023LF001561";"02/01/2024";"1";"6,64";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000004";"110096000012023LF001582";"02/01/2024";"1";"890,29";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000004";"110096000012023LF001582";"02/01/2024";"2";"175,32";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000004";"110096000012023LF001582";"02/01/2024";"3";"242,12";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000004";"110096000012023LF001582";"02/01/2024";"4";"75,61";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000004";"110096000012023LF001582";"02/01/2024";"5";"509,28";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000005";"110096000012023LF001562";"02/01/2024";"1";"18,18";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000006";"110096000012023LF001563";"02/01/2024";"1";"14,03";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000007";"110096000012023LF001583";"02/01/2024";"1";"152,67";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000008";"110096000012023LF001585";"02/01/2024";"1";"2980,61";"0,00";"0,00";"0,00";"0,00"
"110096000012024OB000009";"110096000012023LF001584";"02/01/2024";"1";"2700,00";"0,00";"0,00";"0,00";"0,00"
"110101000012024OB000004";"110101000012023LF000159";"02/01/2024";"1";"77,00";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000001";"110120000012023LF000647";"02/01/2024";"1";"2000,00";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000002";"110120000012023LF000643";"02/01/2024";"1";"138,98";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000003";"110120000012023LF000642";"02/01/2024";"1";"2987,74";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000004";"110120000012023LF000645";"02/01/2024";"1";"1468,42";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"1";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"10";"82,47";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"11";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"12";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"13";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"14";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"15";"57,74";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"16";"57,74";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"17";"57,72";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"2";"57,73";"0,00";"0,00";"0,00";"0,00"
"110120000012024OB000005";"110120000012023LF000646";"02/01/2024";"3";"57,73";"0,00";"0,00";"0,00";"0,00"
