"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"3.277.599,10";"17.301.447,68";"18.176.954,99";"1.004.670,58";
"04/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"12.154.495,25";"17.028.443,60";"16.975.960,96";"436.440,62";
"07/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"3.139.527,41";"16.598.743,55";"19.772.415,76";"971.654,01";
"03/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"793.300,35";"17.180.160,84";"17.352.292,77";"423.648,99";
"09/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"- 95.367,17";"16.699.694,67";"16.620.048,62";"138.956,32";
"02/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"8.134.638,35";"15.895.180,00";"12.624.124,88";"7.385.610,61";
"06/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"319.317,18";"19.593.371,19";"16.136.022,79";"190.571,47";
"08/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"488.978,90";"16.035.724,31";"16.150.222,07";"179.087,92";
"01/2024";"25000 - Ministério da Fazenda";"25203 - Comissão de Valores Mobiliários";"173030 - COMISSAO DE VALORES MOBILIARIOS";"204.580.771,01";"16.108.306,29";"2.711.840,23";"17.034.977,62";
"01/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170394 - FCDF±SSP±CORPO BOMBEIRO MILITAR DO DF";"210.162.834,99";"178.993.618,51";"242.159,41";"20.585.338,32";
"02/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170485 - DEPARTAMENTO DE SAUDE E ASSIST. DE PESSOAL";"268.138.504,63";"589.390,12";"557.188,32";"46.574.677,82";
"02/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170397 - FCDF - SECRETARIA DE SAUDE";"594.251.397,15";"528.377.763,42";"527.942.949,88";"29.757.305,65";
"03/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170485 - DEPARTAMENTO DE SAUDE E ASSIST. DE PESSOAL";"- 11.236.465,33";"11.952.797,09";"9.294.976,37";"59.448.803,46";
"09/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170485 - DEPARTAMENTO DE SAUDE E ASSIST. DE PESSOAL";"11.878.066,63";"14.743.686,16";"11.347.044,14";"887.581,03";
"08/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170395 - FCDF±SSP ± POLICIA CIVIL DO DF";"223.775.739,24";"233.891.715,64";"230.868.028,17";"909.027,26";
"02/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170395 - FCDF±SSP ± POLICIA CIVIL DO DF";"267.427.730,33";"225.026.455,41";"221.848.334,80";"18.203.825,65";
"03/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170397 - FCDF - SECRETARIA DE SAUDE";"702.223.491,95";"1.135.137.150,00";"568.299.122,18";"1.245.254,03";
"09/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170393 - FCDF±SSP ± POLICIA MILITAR DO DF";"6.484.322,77";"11.812.121,34";"11.373.432,86";"0,00";
"01/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170484 - FCDF-PMDF-DEPARTAMENTO DE GESTAO DE PESSOAL";"346.406.316,74";"345.828.402,52";"- 182.355,41";"125.264.369,76";
"06/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170485 - DEPARTAMENTO DE SAUDE E ASSIST. DE PESSOAL";"10.277.516,13";"53.351.304,03";"55.394.268,80";"4.163.135,71";
"04/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170485 - DEPARTAMENTO DE SAUDE E ASSIST. DE PESSOAL";"1.739.883,57";"21.543.927,18";"21.296.973,45";"28.266.808,98";
"07/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170495 - FCDF - CBMDF - ASSISTENCIA MEDICA";"30.704.856,79";"13.532.588,60";"17.904.422,47";"4.145.402,64";
"06/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170393 - FCDF±SSP ± POLICIA MILITAR DO DF";"14.707.818,69";"11.019.180,82";"10.822.568,36";"10.738.761,71";
"03/2024";"25000 - Ministério da Fazenda";"25915 - Fundo Constitucional do Distrito Federal";"170394 - FCDF±SSP±CORPO BOMBEIRO MILITAR DO DF";"197.781.133,91";"198.254.792,87";"190.841.048,96";"5.642.311,83";
